model,dataset,mode,seed,MAE_FM,RMSE_FM,R2_FM,MAPE_FM(%),within_5%,within_10%,under_tight_ratio,over_tight_ratio,n_test,run_id,target_col,MAE_target,RMSE_target,R2_target,n_train,n_val,epochs,batch_size
GBDT,ideal,fm,42,0.9902450578676526,19.061930197250447,0.9999999350334275,0.0015800580680064898,1.0,1.0,0.4735,0.5265,2000,gbdt_ideal_mode-fm_seed-42,FM_N,0.9902450578676526,19.061930197250447,0.9999999350334275,6400,1600,,
FT,ideal,fm,42,96927.38016077882,122425.09481395959,-1.6797674193874776,98.97368973500343,0.0,0.0,1.0,0.0,2000,ft_ideal_mode-fm_seed-42,FM_N,,,,6400,1600,50.0,256.0
GBDT,ideal,k_meas,42,3.2378011383116246e-12,8.06286417483065e-12,1.0,3.129280149388545e-15,1.0,1.0,0.2215,0.0,2000,gbdt_ideal_mode-k_meas_seed-42,k_meas,5.717648576819556e-18,2.5194969927944605e-17,0.9457037427517132,6400,1600,,
FT,ideal,k_meas,42,3833.4160706503512,4852.747137937745,0.9957895207749445,3.867418238094875,0.9425,1.0,0.0,1.0,2000,ft_ideal_mode-k_meas_seed-42,k_meas,,,,6400,1600,50.0,256.0
GBDT,ideal,delta_k,42,3.2378011383116246e-12,8.06286417483065e-12,1.0,3.129280149388545e-15,1.0,1.0,0.2215,0.0,2000,gbdt_ideal_mode-delta_k_seed-42,delta_k,0.0,0.0,1.0,6400,1600,,
FT,ideal,delta_k,42,947.3183744131169,1393.4067882613895,0.9996528540934793,1.0877531873328337,1.0,1.0,0.32,0.68,2000,ft_ideal_mode-delta_k_seed-42,delta_k,,,,6400,1600,50.0,256.0
GBDT,perturbed,fm,42,804.8013223609622,1363.6755476554576,0.9996587051749437,1.0136601784780785,0.988,1.0,0.487,0.513,2000,gbdt_perturbed_mode-fm_seed-42,FM_N,804.8013223609622,1363.6755476554576,0.9996587051749437,6400,1600,,
FT,perturbed,fm,42,96464.14173302823,121466.14527649146,-1.7078094262382986,98.95936450474927,0.0,0.0,1.0,0.0,2000,ft_perturbed_mode-fm_seed-42,FM_N,,,,6400,1600,50.0,256.0
GBDT,perturbed,k_meas,42,522.2237160718696,998.8760024654921,0.9998168821182025,0.5836318355632812,0.998,1.0,0.5315,0.4685,2000,gbdt_perturbed_mode-k_meas_seed-42,k_meas,0.004077461964403495,0.006433114585444743,0.9709919893289606,6400,1600,,
FT,perturbed,k_meas,42,3286.4033664852295,4875.900706127595,0.9956366776069839,3.134858291455262,0.831,0.9905,0.181,0.819,2000,ft_perturbed_mode-k_meas_seed-42,k_meas,,,,6400,1600,50.0,256.0
GBDT,perturbed,delta_k,42,519.094960980034,993.382076280254,0.9998188909150291,0.5803219748954455,0.998,1.0,0.525,0.475,2000,gbdt_perturbed_mode-delta_k_seed-42,delta_k,0.004056380803329501,0.006409560898801369,0.9712040156481853,6400,1600,,
FT,perturbed,delta_k,42,2167.887456008328,3411.295367046332,0.9978642705030315,2.3022397018556426,0.9115,0.996,0.3235,0.6765,2000,ft_perturbed_mode-delta_k_seed-42,delta_k,,,,6400,1600,50.0,256.0
